numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523890307542
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.1158454134415613	0.2137769630373664
1	0.2768675446563862	0.32891221470766074
2	0.09982305697860319	0.2665029105356129
3	0.1329418534722979	0.28210759524331713
4	0.28910244875720886	0.35871902035336717
5	0.28910244875720886	0.38573176096443546
6	0.3721057116399391	0.41672379125495795
7	0.2805143804372066	0.34182509355198254
8	0.05958386194861118	0.14168988062327134
9	0.37208594354266555	0.4176418578745594
