numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	10
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523906189578
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.18685333959977096	0.26244357862105533
1	0.27840513162860514	0.33355461177694956
2	0.26511894996698876	0.3677845716161831
3	0.23635462139935243	0.3775354723989453
4	0.28910244875720886	0.35871902035336717
5	0.11387495397466718	0.19362006827701367
6	0.09766518881314658	0.18902024040171417
7	0.12593909579849408	0.3040450690824183
8	0.2682039054971905	0.3520148006920821
9	0.26388896371483633	0.3960307043196165
