numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.03
mutateChange 	0.05
numTests 	10
seed 	1523918574733
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.28536139591672643	0.3853512389901212
1	0.12570200026376221	0.2976824387868073
2	0.12438635185542368	0.2941131199986142
3	0.37090352439154584	0.41527103739596216
4	0.27587240521441964	0.31754355313676663
5	0.02373452430989712	0.0867090948928436
6	0.1963842721666378	0.30065949835935024
7	0.12628447404425816	0.29312720825045574
8	0.08781776792057598	0.2150127289794443
9	0.28910244875720886	0.35871902035336717
