numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	35
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523912226941
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.13299722332511163	0.2739587541559713
1	0.14911147964446275	0.2838350538737134
2	0.12892564934204864	0.2843225484638709
3	0.13289146771283777	0.30577711519087913
4	0.28910244875720886	0.3772136765226172
5	0.10055615347374469	0.25066807242435724
6	0.2692993059245241	0.4144190990630337
7	0.28910244875720886	0.35871902035336717
8	0.13144147632135458	0.2958769169596367
9	0.27553769256051347	0.315066228346353
