numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	ONEPOINT
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523897194236
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.2682039054971905	0.3343154349430129
1	0.28960897699192434	0.42331146028469707
2	0.11271130703070746	0.2351763757434615
3	0.2800102191900158	0.3311408119969249
4	0.11210866663099803	0.23738783061184346
5	0.13232431855086155	0.24651981881955015
6	0.32942522220109316	0.3702079065229372
7	0.14779768484053818	0.31048207815312917
8	0.11449479938059164	0.22249382215808636
9	0.0922469070803247	0.2808848765141345
