numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	35
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523893731718
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.16635283069490037	0.27697259361334325
1	0.2709968614824315	0.3443500696771486
2	0.28910244875720886	0.3569891728860333
3	0.28910244875720886	0.35871902035336717
4	0.1237400327735242	0.32768963465678114
5	0.1674458660692975	0.2139567499620718
6	0.11286348779669958	0.19022859709266712
7	0.27869415963730754	0.335727922651637
8	0.1019795532774611	0.2895043492290678
9	0.14364623461566414	0.288785448918129
