numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	NPOINT
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523898043500
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.12222878034952836	0.24656054918811277
1	0.13981060460756098	0.3129094895852735
2	0.2108326633067644	0.405640398157755
3	0.28910244875720886	0.3764220294749185
4	0.23109885425865648	0.2709824152474315
5	0.1497525973414936	0.3045196510383934
6	0.18337173206768237	0.30631790750576526
7	0.25711017421424837	0.3691020209516109
8	0.16779254586364667	0.282523034746303
9	0.12021244246912853	0.3129401656323876
