numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	5
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523904084039
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.09701602461173733	0.26630941843758804
1	0.07726299633543127	0.19443926584031143
2	0.3710682292319003	0.41548801904831256
3	0.26763041229441503	0.35857630237790833
4	0.2251324397781534	0.4086221553368275
5	0.28910244875720886	0.35871902035336717
6	0.34575974510552177	0.39392659751567444
7	0.2682039054971905	0.3564713636305081
8	0.2095234952521568	0.33472351205193773
9	0.2692799335742338	0.3106615561405982
