numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	25
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523909926185
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.1259965747983086	0.2866219169524885
1	0.11854028611134963	0.23156783962503968
2	0.13073964426546814	0.2959198871325398
3	0.3721057116399391	0.41672379125495795
4	0.2696781334631408	0.35120700935364296
5	0.2772288575278251	0.4098037629917208
6	0.12106024143305609	0.23655775706629095
7	0.26285645384174255	0.31508505522738134
8	0.26699107773503344	0.3503080181977305
9	0.2784590962884162	0.32867138958094333
