numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	30
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523892691068
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.28910244875720886	0.35871902035336717
1	0.20979568419939876	0.2957609055896774
2	0.2879923763466445	0.36952077247380877
3	0.11526173097653103	0.21899771636205084
4	0.1496551084961675	0.24544858069527586
5	0.28051438043720606	0.329227920210152
6	0.28051438043720606	0.3415421185360007
7	0.2804750589862562	0.3483376811598051
8	0.2725209332044082	0.337446996962207
9	0.28910244875720886	0.35871902035336717
