numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	15
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523907173364
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.2567293678405647	0.32431829309347737
1	0.3719831629805457	0.4163841667260706
2	0.2533167458522814	0.31925696380954144
3	0.25429293636710665	0.34206692546350237
4	0.28910244875720886	0.35871902035336717
5	0.2513620803435297	0.36890512233116696
6	0.21064911908602765	0.2700804648315751
7	0.17373754269374236	0.2788932145109853
8	0.28910244875720886	0.39917864706703793
9	0.28055076333595813	0.325515136190489
